Nx,Ny,psf 
20,7,162.27896389
20,8,179.31482442
20,9,190.44642783
20,10,195.92886359
20,11,195.92649435
20,12,190.43925090
20,13,179.30262767
20,14,162.26158527
20,15,139.46199749
20,16,112.42757316
20,17,84.78869674
20,18,61.60074912
20,19,46.91294563
20,20,41.01299649
