Nx,Ny,psf 
19,19,13.56968582
19,20,6.09434084
20,1,6.17230195
20,2,6.29600191
20,3,12.57235872
20,4,23.38348581
20,5,34.79710072
20,6,43.32454380
20,7,47.68798625
20,8,48.72406697
20,9,48.16477024
20,10,47.50154911
20,11,47.50189150
20,12,48.16546892
20,13,48.72411662
20,14,47.68586776
20,15,43.31894233
20,16,34.78807623
20,17,23.37322618
20,18,12.56446528
20,19,6.29326326
20,20,6.17448930
